ID_REF	GSM3211361	GSM3211362	GSM3211363
hsa-miR-219a-5p	-2.868	-3.2535	-3.4279
hsa-miR-219b-3p	-2.868	-3.2535	-3.4279
hsa-miR-219b-5p	-2.868	-3.2535	-3.4279
hsa-miR-22-3p	4.0957	3.4104	3.831
hsa-miR-22-5p	-2.868	-3.2535	-3.4279
hsa-miR-221-3p	2.9905	2.5531	2.8332
hsa-miR-221-5p	-2.868	-3.2535	-3.4279
hsa-miR-222-3p	2.1094	1.3262	1.6053
hsa-miR-222-5p	-2.868	-3.2535	-3.4279
hsa-miR-223-3p	0.4539	-3.2535	-3.4279
hsa-miR-223-5p	-2.868	-3.2535	-3.4279
hsa-miR-224-3p	-2.868	-3.2535	-3.4279
hsa-miR-224-5p	4.2266	3.0723	3.6793
hsa-miR-2276-3p	-2.868	0.0684	1.7506
hsa-miR-2276-5p	-2.868	-3.2535	-3.4279
hsa-miR-2277-3p	-2.868	-3.2535	-3.4279
hsa-miR-2277-5p	-2.868	-3.2535	-3.4279
hsa-miR-2278	-2.868	0.256	-0.1059
hsa-miR-2355-3p	-2.868	-3.2535	-3.4279
hsa-miR-2355-5p	-2.868	-3.2535	-3.4279
hsa-miR-2392	0.8167	3.4351	3.9207
hsa-miR-23a-3p	6.7833	6.1318	6.5641
hsa-miR-23a-5p	-2.868	-3.2535	-3.4279
hsa-miR-23b-3p	3.2561	2.6003	2.9962
hsa-miR-23b-5p	-2.868	-3.2535	-3.4279
hsa-miR-23c	-2.868	-3.2535	-3.4279
hsa-miR-24-1-5p	-2.868	-3.2535	-3.4279
hsa-miR-24-2-5p	-2.868	-3.2535	-3.4279
hsa-miR-24-3p	5.706	4.9769	5.4749
hsa-miR-2467-3p	-2.868	-3.2535	-3.4279
hsa-miR-2467-5p	-2.868	-3.2535	-3.4279
hsa-miR-25-3p	5.1557	4.33	4.9727
hsa-miR-25-5p	-2.868	-3.2535	-3.4279
hsa-miR-2681-3p	-2.868	-3.2535	-3.4279
hsa-miR-2681-5p	-2.868	-3.2535	-3.4279
hsa-miR-2682-3p	-2.868	-3.2535	-3.4279
hsa-miR-2682-5p	-2.868	-3.2535	-3.4279
hsa-miR-26a-1-3p	-2.868	-3.2535	-3.4279
hsa-miR-26a-2-3p	-2.868	-3.2535	-3.4279
hsa-miR-26a-5p	3.6398	2.7285	3.4379
hsa-miR-26b-3p	-2.868	-3.2535	-3.4279
hsa-miR-26b-5p	3.4406	2.4984	3.2126
hsa-miR-27a-3p	5.5574	5.1321	5.6441
hsa-miR-27a-5p	-2.868	-3.2535	-3.4279
hsa-miR-27b-3p	3.1231	2.4563	3.069
hsa-miR-27b-5p	-2.868	-3.2535	-3.4279
hsa-miR-28-3p	-2.868	-3.2535	-3.4279
hsa-miR-28-5p	-2.868	-3.2535	-3.4279
hsa-miR-2861	4.1975	8.2167	7.9929
hsa-miR-2909	-2.868	-3.2535	-3.4279
hsa-miR-296-3p	-2.868	-3.2535	-3.4279
hsa-miR-296-5p	0.4539	0.6006	1.4017
hsa-miR-297	-2.868	-3.2535	-3.4279
hsa-miR-298	-2.868	1.4307	0.3758
hsa-miR-299-3p	-2.868	-3.2535	-3.4279
hsa-miR-299-5p	-2.868	-3.2535	-3.4279
hsa-miR-29a-3p	5.8496	5.3439	5.9995
hsa-miR-29a-5p	-2.868	-3.2535	-3.4279
hsa-miR-29b-1-5p	-2.868	-3.2535	-0.1059
hsa-miR-29b-2-5p	-2.868	-3.2535	-3.4279
hsa-miR-29b-3p	5.4598	4.9857	5.6939
hsa-miR-29c-3p	3.2545	2.8148	3.4388
hsa-miR-29c-5p	-2.868	-3.2535	-3.4279
hsa-miR-300	-2.868	-3.2535	-3.4279
hsa-miR-301a-3p	3.2272	2.3759	3.0001
hsa-miR-301a-5p	-2.868	-3.2535	-3.4279
hsa-miR-301b-3p	-2.868	-3.2535	-3.4279
hsa-miR-301b-5p	-2.868	-3.2535	-3.4279
